小学四则运算答案

1)	98
2)	54
3)	20
4)	25
5)	864
6)	75
7)	0
8)	9216
9)	39
10)	57
11)	18
12)	4608
13)	37
14)	90
15)	1
16)	121
17)	8
18)	28
19)	86
20)	47
21)	27
22)	968
23)	6
24)	95
25)	48
26)	82
27)	6
28)	42
29)	3
30)	80
31)	90
32)	177
33)	3042
34)	28
35)	45
36)	9800
37)	726
38)	97
39)	76
40)	29
41)	27
42)	49
43)	9
44)	44
45)	214
46)	3
47)	44
48)	48
49)	5
50)	3
51)	2
52)	16
53)	15
54)	30
55)	14
56)	28
57)	60
58)	9
59)	36
60)	475
61)	1
62)	95
63)	104
64)	96
65)	41
66)	4
67)	63
68)	65
69)	64
70)	507
71)	3
72)	738
73)	95
74)	2
75)	100
76)	84
77)	11
78)	22
79)	3
80)	5
81)	117
82)	194
83)	48
84)	72
85)	28
86)	80
87)	110
88)	11
89)	27
90)	8
91)	5
92)	2
93)	32
94)	1
95)	1568
96)	1600
97)	4232
98)	9
99)	27
100)	100
